Sarlavha (UZ),Kompaniya (UZ),Joylashuv (UZ),Sana (UZ),Havola
To'liq stack ishlab chiqaruvchisi,"Dragho Co, Ltd.","Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/18 (dush),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51331846&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
"Ilovani yollash texnologiyasini yollash, LTD.","AutoCon Tech Co., Ltd.","Uichang -Gu, Changwon -si, Gyeongnam",~ 08/17 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51333957&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
2025 yilning ikkinchi yarmida har bir sohada yangi / martaba yollash,"Avtosylik Co., LTD.",DAEJON Yussong -Gu,~ 08/27 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51358276&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Ma'lumotlar muhandisi karerasi,"Ai ishlaydi, ltd.","Songpa -Gu, Seul",~ 08/20 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51359938&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Jismoniy dizayn muhandisi,"Boss Semkiuggor Co., Ltd.","Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/02 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51210274&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
SANT RTL dizayner muhandisi,"Boss Semkiuggor Co., Ltd.","Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/02 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51211074&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Yarimo'tkazgichli tozalash vositalarini ishlab chiquvchi (martaba),"Ko'k nuqta co., ltd.",Gangnam - The Seul,~ 08/14 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51300752&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Yarimo'tkazgichlar dizayni rivojlanuvchisi (yangi yollash),"Ko'k nuqta co., ltd.",Gangnam - The Seul,~ 08/14 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51300550&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
AI (sun'iy aql) ishlab chiqish va ma'lumotlarni tahlil qilish tadqiqotchisi,"Marintarinklar Co., Ltd.","Jongno -Gu, Seul",~ 09/22 (dush),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51384451&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Ai tadqiqotchisi AI jamoasi,"Ha, Diangbio Energergencation Co, LTD.","Songpa -Gu, Seul",~ 08/07 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51252147&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
AI / ma'lumotlarini o'rgatish uchun vositachi,Hamma ilmiy instituti,Gangnam - The Seul,~ 08/09 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51274465&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Dastur muhandisi (beli),"Booster Co., LTD.",Gangnam - The Seul,~ 08/16 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51325114&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
[2-3 marta sinovdan keyin 2 marta] Tinglovchilar reyting hisobotlarini ishlab chiqish / boshqarish,"Bitta stab hral Co., Ltd.",서울 중구,~ 08/20 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51346360&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
AI muhandis - professional tadqiqotchilar mavjud,"Imma goworks Co, Ltd.",Gangnam - The Seul,~ 08/19 (Tue),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51334940&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
"[81% bandlik] Katta ma'lumotlar, AI bo'shashtirish kursi!",Smart Kadrlar uchun resurslarni rivojlantirish instituti,Gwangju Nam -Gu,~ 04/08 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51127978&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Backend ishlab chiqaruvchisi (1 ~ 3 yil),"Kelajakdagi platforma Co., Ltd.","Gangseo -Gu, Seul",~ 07/30 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51198763&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Harakatni rejalashtirish / boshqarish muhandisi,Taqiladigan AI,"Yeongdeungpo -Gu, Seul",~ 08/07 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51239045&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
AI ma'lumotlari olimi ishlab chiqarish,Bu biron bir joyda tug'ma,Gangnam - The Seul,~ 08/08 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51262381&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Sun'iy intellektni (AI) yollash va katta ma'lumotlar bo'yicha mutaxassislar,"Yaxshi axborot texnologiyalari Co., Ltd.","DAOKJIN -GU, JEONJU - Jarie, Jonbuk",~ 08/25 (dona),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51132846&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Cuc dizayner muhandisi,"Mobil Co., Ltd.",Gangnam - The Seul,~ 08/06 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51238299&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
SW sinov muhandisi,"AutoCryPTPT, LTD.","Yeongdeungpo -Gu, Seul",~ 09/20 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51364388&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
"Vision muhandisining karikashini yollash (100 milliondan ortiq bo'lgan yillik maosh, maslahat mavjud)","Basil kompaniyasi Co., Ltd.",Busan Sasagb --Gu,~ 08/09 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50989908&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
[Bunddang / Robot] Qurilish muhandisi [professional] plaf,"Fla barg co., ltd.","Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/19 (Tue),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51088314&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
[Bunddang / Robot] Robot nazorati muhandisi [Plaf,"Fla barg co., ltd.","Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/19 (Tue),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51088243&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Kompyuter injiniringi ilmiy institutini yollash (DAEJEON),Artianning maydoni,DAEJON West,~ 07/30 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51145965&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Sun'iy razvedka (AI) muhandislarini yangi ishga qabul qilish,"Allycic co., ltd.",Butun iqtisodiy,~ 08/05 (Tee),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51224094&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Infra / Tizim muhandisi,"Colosseum Corporation Co., LTD.",Gangnam - The Seul,~ 08/07 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51252615&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
AI hisoblash dasturini yollash,"Sls co., ltd.","SIHEUNG -SI, GYEONGI -DO",~ 08/09 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51265317&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Ai rasmni yaratish platformasi ishlab chiqaruvchisi (barqaror diffest / Lora),"Auditorlik Co., Ltd.",Gangnam - The Seul,~ 09/14 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51312022&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
(Yangi / martaba) Xavfsizlik nazorati va buzilishlarni buzish tahlili,"HININ CO., LTD.","Gvakeon, Gyeonggi -do -do",Muntazam yollash,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51316308&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Aytiya hikoyasini ishlab chiquvchi faoliyatini yollash,"Aytian hikoyasi Co., Ltd.","Mapo -Gu, Seul",~ 08/17 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51332074&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Dasturiy ta'minot sifatini tekshirish va muhandisni yollash,"New Latec Co., Ltd.",Gangnam - The Seul,~ 09/21 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51373816&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
"[Ma'lumot nuri co., Ltd] Bulut rivojlanish tajribasini yollash","Ma'lumot nuri co., ltd.","Gangseo -Gu, Seul",~ 08/23 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51380894&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
"Avtonom robot ishlab chiqaruvchisi (Haydash, Vision AI)","Tira Robotic Co., Ltd.","Jungwon - The Seongnam -si, Gyeonggi -do -do",~ 08/17 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51062359&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
"Klavi texnologiya ilmiy instituti (latta, llm, nlp sun'iy intellekt) AI ishlab chiqaruvchilarini yollash","Claviy Co., LTD.","Songpa -Gu, Seul",~ 09/05 (FRI),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51223816&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Tizim dasturiy ta'minot muhandislarini yollash,"MTRisien Co., LTD.",Barcha Seul,~ 08/07 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51240967&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
MRGENTAR ROVTIKA ROBOTIKA VA AI SW,"Magentsar Robotic Co., Ltd.",DAEJON Yussong -Gu,~ 08/16 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51327100&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
"OEM, ODM kosmetikasi kompaniyasi Yongin shtab-kvartirasini rejalashtirish divizion (SCM)","H & Tuser Co., Ltd.","Chuin-The, Yongin -si, Gyeonggi -do -do",~ 08/20 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51352091&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
Magentar Robotiks Backend dasturchisi,"Magentsar Robotic Co., Ltd.",DAEJON Yussong -Gu,~ 09/22 (dush),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51381125&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
[Karyera] Orqaga ishlab chiqaruvchi yollash,"Xavfsizlik Co., LTD.","Songpa -Gu, Seul",~ 08/14 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51042025&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd588b76-29c9-4d8e-bde6-40e9df5fc67b
AI (LLM) ishlab chiqaruvchilarni yollash,"Enplux Co., Ltd.","Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/16 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51054846&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
AI dasturiy ishlab chiqaruvchilarni yollash (yangi / martaba),"Isol Co., Ltd.",DaGu Dalseo -Gu,~ 07/30 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51157708&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
[Eritma] Backend dasturchilarini yollash (C #),"Jokramas Co., LTD.",Seul Gvana-ning,~ 07/30 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51162596&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
[NHH Payco] Ma'lumot muhandisi -BI tizimini rivojlantirish,"Npco Co., Ltd.",Seul Guro -Gu,Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51176925&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
[ALEACTEMEMARTEARTETIYA MURJASIYASI (YANGI ~ 5 yil),"Opards Co., Ltd.","Jung -Gu, Seul",~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51186672&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
[Karyera] Orqaga muhandislarni yollash,"Uni Co., LTD ni yarating","Seongnam -si, Gyeonggi -do -do",~ 08/02 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51208596&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
"Hana Networks Co., Ltd. yollash","Hana Networks Co., Ltd.",Seobuk - The Cheonon - Chungnam,~ 08/03 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51211812&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Robot apparat ishlab chiqaruvchilarini yollash (yangi / martaba),"Isol Co., Ltd.",DaGu Dalseo -Gu,~ 08/08 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51248767&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Vision devni oxirgi ishlab chiqaruvchi yollash,"POZICUBE CO, LTD.",Gangnam - The Seul,~ 09/16 (Tue),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51334570&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
"R & D xodimlarini yollash (yangi, martaba)","Pentabee Co., Ltd.",Incheon Namzgg -Gu,~ 08/23 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51381276&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Ishlab chiquvchi mustaqil ishga yollash,"Wikid Storm Co., Ltd.","Gangseo -Gu, Seul",~ 08/24 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51393766&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Robotlardan foydalangan holda payvandlash tizimi [ishlab chiquvchi],"Alliware Co., LTD.","Deokyan --Gu, GYANIZ -SI, GYEONGGI -O",~ 08/01 (FRI),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51384701&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
[2 ko'zni] bulutni orqaga qaytarish,"Sport ikki ko'z Co., Ltd.","Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/13 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51288255&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Xanyang Axborot va kommunikatsiya AI ishlab chiqaruvchi yollash,"Xannang Axborot va aloqa Co., Ltd.","Seocho -Gu, Seul",Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51290302&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
(U netkiller) muhandis jamoasi jamoasining yollash / tajribasi,"Netkiller Co, Ltd.","Seongnam -si, Gyeonggi -do -do",~ 08/13 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51292373&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Rivojlanish menejeri (karera),"Tovarlar ma'lumotlari Co., LTD.",Gangnam - The Seul,~ 08/10 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51347444&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Avtotransport vositasini boshqarish tizimi SW ishlab chiqaruvchi yollash,"AUTI NOMERS TOGI CO, LTD.","Dong -Gu, Anang -si, Gyeonggi -do -do",Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50907672&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Avtonom SW tajribali ishlab chiqaruvchilarni yollash,"Chuqur Fusion Ai Co., Ltd.",Gangnam - The Seul,~ 08/08 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50975082&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Veb-xizmatni rivojlantirish tajribasini yollash,"Ildizli Co., Ltd.",Daegu nam-ning,~ 07/30 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51158446&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Xavfsizlik muhandislik karyerasining karikashini yollash to'g'risidagi e'lonlar (muntazam ishchilar),"Soma Co., Ltd.","Seongnam -si, Gyeonggi -do -do",~ 07/30 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51164337&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Chuqur o'rganish muhandisi,"Buren Technology Co., Ltd.","Seocho -Gu, Seul",~ 08/02 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51210015&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
[Xohlar] orqa motorli muhandis (3 yosh yoki undan ko'p),"Dabble Co., LTD.",Gangnam - The Seul,Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51222136&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
LLM tadqiqot muhandisi,"Hamma -Kide Koreya Co., Ltd.",Gangnam - The Seul,~ 08/19 (Tue),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51348392&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
[Koreys o'quv dasturi] Veb-ishlab chiqaruvchisi / AI muhandis / fluter dasturchisi reaktsiya,ID dizayn laboratoriyasi,"Mapo -Gu, Seul",~ 09/19 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51354817&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
LIDIR sensor algoritmini rivojlantirish va baholash bo'yicha xodimi (yangi ish bilan ta'minlash),"Qattiq view Co., Ltd.","Seongnam -si, Gyeonggi -do -do",~ 08/03 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51359601&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
"Xocode Machine Word ProteSer Co., LTD ni yollash.","Iokode Co., Ltd.",Busdan Xelandae -Gu,~ 08/07 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51391345&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
[PalmKonnce] Smart Qishloq qishloq xo'jalik platformasi ishlab chiqaruvchisi,"PalmConnect Co, Ltd.","Yeongdeungpo -Gu, Seul",~ 08/24 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51393672&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
[To'liq ish bilan ta'minlash] AI dala tadqiqotlari va rivojlanish dasturiy ta'minoti (ST / V) martaba yollash to'g'risidagi e'lon,"Global tizimlar Co., Ltd.",DAEJON Yussong -Gu,~ 08/03 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50944449&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
ST / W W dasturchisi (tizim dasturi) Karyera ishi,"Ltd., Ltd.","Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/08 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50971860&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
[Platformaning ishlab chiquvchisi] Veb / Ilova va Integratsiyalashgan xizmatlarni ishlab chiqaruvchilarni yollash (yangi / martaba),"Seul Soft Co., Ltd.","Chungju -si, chungbuk",~ 08/07 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51236484&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
2025 Sion eritmasi muhandislarni yollash,"Zion co., ltd.",Gangnam - The Seul,~ 08/07 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51237284&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
AI tadqiqotchisi va maslahatchi,"APRACA CO, LTD.","Seongdongu, Seul",~ 08/21 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51370581&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
AI ishlab chiqaruvchisini yollash (karera sousi),"Botics Co., LTD.",Busdan Gangseo -Gu,Ertaga tugatish,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50911818&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Mahsulot muhandisi (orqa oxiri),"O'rta maktab Co., LTD. ni rejalashtirish",Seul Gvana-ning,~ 08/02 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51211388&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
R & D-da yangi xodimlarni yollash,"Starmatta Co., Ltd.",Gangnam - The Seul,~ 08/02 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51214559&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Yollash,Bloom a,"Jung -Gu, Seul",~ 08/09 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51266445&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
Tadqiqotni ishga qabul qilish (so'rov tizimining ishlashi va IT-ni qo'llab-quvvatlash),Insinlikni anglash Koreya,"Seocho -Gu, Seul",~ 08/09 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51261262&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
[Karyera] Fasvatni ishlab chiqaruvchilarni yollash,"G & I Tech Co., Ltd.","Gvakeon, Gyeonggi -do -do",~ 08/21 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51363877&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
AI robot nazorati va o'quv simulyatsiyasini rivojlantirish,"Vision Flace Co., Ltd.",Gangnam - The Seul,~ 08/22 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51369732&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4bdefc00-f26f-4b3c-a79c-9b165c14d517
